CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Combined_Pollutant,AQI_Category
1.2,-200.0,6.7,102.0,96.0,895.0,845.0,1072.0,1241.0,763.0,19.1,22.8,0.501,97.2,Hazardous
0.7,-200.0,4.8,73.0,77.0,862.0,751.0,1154.0,1213.0,617.0,18.4,24.6,0.5169,77.7,Hazardous
0.7,-200.0,4.8,65.0,73.0,858.0,756.0,1159.0,1209.0,564.0,17.3,25.6,0.5032,73.7,Hazardous
0.8,-200.0,5.0,76.0,86.0,853.0,762.0,1134.0,1184.0,646.0,16.5,24.9,0.4642,86.8,Hazardous
0.5,-200.0,4.3,65.0,84.0,859.0,727.0,1120.0,1187.0,753.0,16.7,28.3,0.5316,84.5,Hazardous
0.2,-200.0,2.7,41.0,56.0,837.0,634.0,1200.0,1150.0,669.0,15.5,32.2,0.5641,56.2,Hazardous
0.1,-200.0,1.7,45.0,51.0,774.0,560.0,1386.0,1107.0,532.0,11.6,40.0,0.5462,51.1,Hazardous
0.2,-200.0,2.6,40.0,45.0,798.0,630.0,1291.0,1125.0,536.0,13.4,34.5,0.5272,45.2,Hazardous
1.1,-200.0,8.8,101.0,82.0,1002.0,932.0,949.0,1405.0,917.0,15.2,31.0,0.5329,83.1,Hazardous
2.1,-200.0,15.3,149.0,91.0,1058.0,1158.0,820.0,1459.0,1187.0,19.2,20.0,0.439,93.1,Hazardous
1.0,-200.0,7.0,97.0,96.0,979.0,857.0,1082.0,1546.0,797.0,19.8,46.8,1.0697,97.0,Hazardous
0.6,-200.0,5.1,71.0,84.0,892.0,767.0,1180.0,1466.0,657.0,18.0,51.4,1.0504,84.6,Hazardous
0.1,-200.0,2.0,41.0,45.0,762.0,581.0,1588.0,1277.0,434.0,17.9,46.1,0.9383,45.1,Hazardous
0.5,-200.0,4.0,84.0,80.0,841.0,713.0,1293.0,1356.0,559.0,18.4,43.9,0.9192,80.5,Hazardous
0.6,-200.0,4.0,77.0,77.0,843.0,712.0,1303.0,1343.0,548.0,18.9,42.1,0.9081,77.6,Hazardous
0.5,-200.0,4.0,73.0,68.0,841.0,713.0,1326.0,1330.0,525.0,19.2,39.7,0.8728,68.5,Hazardous
0.7,-200.0,4.2,72.0,66.0,862.0,721.0,1329.0,1335.0,522.0,20.8,36.6,0.8878,66.7,Hazardous
0.7,-200.0,4.5,77.0,70.0,869.0,740.0,1296.0,1366.0,535.0,21.3,35.8,0.8975,70.7,Hazardous
0.9,-200.0,6.0,82.0,74.0,894.0,810.0,1204.0,1421.0,585.0,21.8,34.9,0.9004,74.9,Hazardous
0.7,-200.0,4.8,67.0,64.0,844.0,755.0,1284.0,1350.0,521.0,22.8,31.4,0.8615,64.7,Hazardous
0.4,-200.0,3.8,59.0,60.0,823.0,699.0,1382.0,1311.0,493.0,22.9,31.3,0.862,60.4,Hazardous
0.5,-200.0,4.2,61.0,63.0,843.0,719.0,1353.0,1330.0,501.0,22.9,30.7,0.8461,63.5,Hazardous
0.6,-200.0,5.1,76.0,75.0,865.0,767.0,1279.0,1369.0,559.0,23.8,29.2,0.8499,75.6,Hazardous
0.6,-200.0,5.6,73.0,79.0,873.0,792.0,1247.0,1397.0,589.0,23.2,30.2,0.8442,79.6,Hazardous
0.8,-200.0,5.8,87.0,83.0,899.0,803.0,1221.0,1426.0,596.0,22.4,31.3,0.8365,83.8,Hazardous
1.0,-200.0,7.0,98.0,93.0,921.0,856.0,1163.0,1437.0,681.0,21.7,32.2,0.825,94.0,Hazardous
1.3,-200.0,8.5,102.0,93.0,955.0,918.0,1056.0,1511.0,762.0,19.5,36.9,0.8258,94.3,Hazardous
0.6,-200.0,6.5,61.0,76.0,869.0,835.0,1078.0,1437.0,807.0,19.2,42.0,0.9248,76.6,Hazardous
0.1,-200.0,3.1,25.0,37.0,781.0,661.0,1271.0,1299.0,568.0,17.2,47.2,0.9178,37.1,Very Unhealthy
0.1,-200.0,2.9,32.0,45.0,781.0,645.0,1295.0,1320.0,575.0,17.3,47.6,0.9295,45.1,Hazardous
0.2,-200.0,3.6,48.0,61.0,828.0,690.0,1263.0,1353.0,658.0,18.6,44.2,0.9385,61.2,Hazardous
0.3,-200.0,2.7,60.0,67.0,803.0,635.0,1417.0,1272.0,537.0,20.2,37.8,0.8837,67.3,Hazardous
0.3,-200.0,3.0,52.0,60.0,811.0,653.0,1411.0,1269.0,486.0,22.0,31.9,0.8335,60.3,Hazardous
0.4,-200.0,3.7,58.0,64.0,844.0,696.0,1353.0,1292.0,507.0,25.5,25.9,0.8339,64.4,Hazardous
0.3,-200.0,3.8,54.0,64.0,833.0,697.0,1361.0,1294.0,496.0,27.5,22.8,0.8249,64.3,Hazardous
0.3,-200.0,4.2,52.0,59.0,832.0,719.0,1318.0,1299.0,502.0,28.7,20.7,0.8024,59.3,Hazardous
0.1,-200.0,2.6,34.0,41.0,771.0,626.0,1502.0,1210.0,430.0,29.1,19.6,0.7771,41.1,Hazardous
0.1,-200.0,2.8,41.0,46.0,783.0,637.0,1498.0,1215.0,439.0,29.8,18.4,0.7595,46.1,Hazardous
0.2,-200.0,4.2,41.0,46.0,815.0,723.0,1378.0,1256.0,471.0,32.0,15.0,0.7028,46.2,Hazardous
0.6,-200.0,6.2,65.0,77.0,912.0,819.0,1224.0,1368.0,589.0,30.3,17.0,0.7232,77.6,Hazardous
0.5,-200.0,5.2,65.0,83.0,894.0,774.0,1239.0,1339.0,598.0,31.7,16.2,0.745,83.5,Hazardous
0.9,-200.0,7.7,84.0,90.0,963.0,885.0,1102.0,1447.0,695.0,29.2,19.6,0.7817,90.9,Hazardous
1.1,-200.0,8.8,89.0,95.0,990.0,930.0,1045.0,1506.0,739.0,27.4,23.8,0.858,96.1,Hazardous
0.4,-200.0,5.4,46.0,64.0,878.0,784.0,1181.0,1407.0,610.0,21.4,36.9,0.9271,64.4,Hazardous
0.2,-200.0,4.3,16.0,28.0,836.0,728.0,1213.0,1353.0,518.0,20.6,39.9,0.9597,28.2,Very Unhealthy
0.3,-200.0,4.8,27.0,46.0,855.0,751.0,1107.0,1418.0,664.0,19.7,43.2,0.9812,46.3,Hazardous
0.5,-200.0,6.5,82.0,60.0,909.0,834.0,1031.0,1527.0,763.0,16.6,52.1,0.9785,60.5,Hazardous
1.6,-200.0,14.2,167.0,83.0,1108.0,1123.0,804.0,1801.0,1111.0,17.4,50.9,1.0017,84.6,Hazardous
1.1,-200.0,10.7,97.0,96.0,1020.0,1003.0,904.0,1716.0,916.0,21.7,46.9,1.2044,97.1,Hazardous
0.8,-200.0,7.5,78.0,69.0,1035.0,878.0,977.0,1694.0,825.0,19.3,68.8,1.519,69.8,Hazardous
0.4,-200.0,5.3,60.0,58.0,986.0,781.0,1063.0,1633.0,693.0,17.6,81.6,1.6296,58.4,Hazardous
0.6,-200.0,6.5,61.0,59.0,1017.0,834.0,986.0,1676.0,734.0,17.8,80.3,1.6212,59.6,Hazardous
0.3,-200.0,4.7,46.0,45.0,922.0,750.0,1085.0,1585.0,685.0,18.6,75.7,1.6074,45.3,Hazardous
0.1,-200.0,2.4,39.0,41.0,854.0,613.0,1272.0,1515.0,565.0,16.8,81.3,1.5452,41.1,Hazardous
0.3,-200.0,6.1,107.0,65.0,985.0,816.0,987.0,1677.0,799.0,17.3,78.6,1.5412,65.3,Hazardous
1.4,-200.0,12.5,190.0,94.0,1225.0,1067.0,760.0,1922.0,1102.0,16.9,80.9,1.5472,95.4,Hazardous
1.8,-200.0,12.0,211.0,89.0,1182.0,1051.0,829.0,1870.0,1206.0,19.6,66.7,1.5023,90.8,Hazardous
1.6,-200.0,12.4,201.0,86.0,1173.0,1063.0,814.0,1905.0,1218.0,20.4,63.1,1.4969,87.6,Hazardous
1.9,-200.0,15.9,191.0,89.0,1259.0,1178.0,722.0,2060.0,1367.0,21.6,61.8,1.5775,90.9,Hazardous
2.5,-200.0,15.7,192.0,88.0,1263.0,1171.0,759.0,2029.0,1290.0,24.0,49.3,1.4509,90.5,Hazardous
1.6,-200.0,13.5,143.0,73.0,1156.0,1100.0,800.0,1884.0,1175.0,25.7,43.8,1.4262,74.6,Hazardous
1.5,-200.0,12.4,148.0,78.0,1167.0,1065.0,808.0,1886.0,1139.0,24.6,47.5,1.4487,79.5,Hazardous
2.5,-200.0,17.1,183.0,95.0,1278.0,1213.0,733.0,2041.0,1293.0,24.8,47.4,1.4628,97.5,Hazardous
3.5,-200.0,19.9,184.0,95.0,1353.0,1292.0,683.0,2178.0,1326.0,23.0,53.8,1.4968,98.5,Hazardous
3.7,-200.0,19.7,221.0,88.0,1355.0,1289.0,678.0,2158.0,1391.0,21.0,66.9,1.6436,91.7,Hazardous
2.1,-200.0,15.7,159.0,77.0,1230.0,1169.0,737.0,2020.0,1275.0,20.6,68.1,1.6329,79.1,Hazardous
1.6,-200.0,12.0,136.0,75.0,1148.0,1048.0,822.0,1883.0,1168.0,20.5,66.9,1.5914,76.6,Hazardous
2.2,-200.0,13.1,168.0,81.0,1171.0,1088.0,822.0,1889.0,1132.0,20.2,65.2,1.5251,83.2,Hazardous
0.8,-200.0,9.2,95.0,57.0,1021.0,949.0,927.0,1764.0,977.0,19.5,68.0,1.5269,57.8,Hazardous
0.7,-200.0,4.5,37.0,63.0,852.0,739.0,1095.0,1525.0,837.0,19.6,54.8,1.236,63.7,Hazardous
0.7,-200.0,4.9,57.0,71.0,858.0,757.0,1066.0,1542.0,904.0,19.3,57.3,1.265,71.7,Hazardous
1.2,-200.0,7.9,131.0,91.0,963.0,894.0,942.0,1702.0,1065.0,19.7,58.4,1.3254,92.2,Hazardous
1.5,-200.0,7.4,171.0,95.0,966.0,874.0,969.0,1682.0,999.0,19.8,59.4,1.3554,96.5,Hazardous
1.5,-200.0,8.0,187.0,96.0,983.0,901.0,954.0,1691.0,986.0,20.9,54.8,1.3387,97.5,Hazardous
1.6,-200.0,7.6,133.0,81.0,990.0,881.0,985.0,1685.0,874.0,22.4,47.9,1.2817,82.6,Hazardous
1.1,-200.0,5.3,87.0,68.0,891.0,780.0,1110.0,1543.0,689.0,24.1,41.3,1.2202,69.1,Hazardous
1.1,-200.0,5.3,61.0,57.0,883.0,778.0,1130.0,1545.0,608.0,25.9,36.9,1.2133,58.1,Hazardous
1.4,-200.0,8.0,86.0,68.0,914.0,900.0,1010.0,1596.0,706.0,30.7,26.0,1.1287,69.4,Hazardous
1.4,-200.0,8.4,83.0,72.0,896.0,917.0,1017.0,1577.0,704.0,30.3,25.2,1.0652,73.4,Hazardous
1.0,-200.0,6.0,61.0,62.0,841.0,811.0,1135.0,1463.0,609.0,30.1,25.4,1.0641,63.0,Hazardous
1.3,-200.0,7.3,80.0,75.0,926.0,868.0,1048.0,1599.0,687.0,27.6,35.1,1.2764,76.3,Hazardous
1.9,-200.0,10.2,110.0,92.0,1133.0,984.0,838.0,1897.0,976.0,26.6,47.6,1.6315,93.9,Hazardous
1.7,-200.0,9.0,108.0,89.0,1042.0,939.0,917.0,1744.0,860.0,30.4,31.3,1.3331,90.7,Hazardous
0.6,-200.0,3.8,17.0,30.0,841.0,699.0,1123.0,1508.0,558.0,23.0,51.1,1.4175,30.6,Very Unhealthy
0.8,-200.0,5.6,26.0,43.0,916.0,791.0,1007.0,1588.0,679.0,22.1,53.5,1.4087,43.8,Hazardous
1.7,-200.0,8.0,55.0,67.0,1008.0,900.0,907.0,1681.0,850.0,21.6,53.6,1.3674,68.7,Hazardous
1.1,-200.0,5.6,39.0,58.0,895.0,792.0,975.0,1574.0,733.0,21.9,52.7,1.365,59.1,Hazardous
0.6,-200.0,3.8,15.0,24.0,810.0,702.0,1093.0,1529.0,612.0,21.3,54.9,1.3707,24.6,Very Unhealthy
1.1,-200.0,6.6,47.0,58.0,968.0,840.0,891.0,1727.0,788.0,17.5,79.1,1.5709,59.1,Hazardous
1.0,-200.0,5.2,49.0,62.0,892.0,773.0,926.0,1660.0,724.0,17.1,81.8,1.5816,63.0,Hazardous
0.5,-200.0,2.4,21.0,34.0,806.0,615.0,1172.0,1525.0,543.0,16.6,80.2,1.5002,34.5,Very Unhealthy
0.7,-200.0,3.1,33.0,46.0,827.0,659.0,1115.0,1552.0,616.0,16.8,77.4,1.4739,46.7,Hazardous
1.0,-200.0,5.2,63.0,62.0,881.0,776.0,1037.0,1623.0,677.0,18.3,66.5,1.381,63.0,Hazardous
1.2,-200.0,5.9,73.0,70.0,877.0,808.0,1011.0,1614.0,723.0,20.4,55.8,1.3196,71.2,Hazardous
0.7,-200.0,2.8,51.0,54.0,784.0,638.0,1314.0,1412.0,529.0,21.6,45.3,1.1533,54.7,Hazardous
0.9,-200.0,3.4,61.0,61.0,806.0,675.0,1270.0,1414.0,528.0,23.1,39.4,1.0983,61.9,Hazardous
0.8,-200.0,3.0,52.0,53.0,775.0,653.0,1349.0,1365.0,491.0,25.4,31.6,1.0058,53.8,Hazardous
0.8,-200.0,3.4,49.0,49.0,773.0,676.0,1331.0,1374.0,489.0,26.6,29.0,0.9928,49.8,Hazardous
0.5,-200.0,2.3,40.0,48.0,734.0,603.0,1471.0,1303.0,450.0,25.9,28.8,0.9475,48.5,Hazardous
0.5,-200.0,2.7,36.0,45.0,757.0,635.0,1445.0,1345.0,451.0,27.0,28.0,0.981,45.5,Hazardous
0.7,-200.0,3.6,51.0,60.0,817.0,688.0,1299.0,1435.0,512.0,23.6,38.1,1.0917,60.7,Hazardous
0.9,-200.0,4.2,56.0,59.0,815.0,720.0,1225.0,1418.0,525.0,25.9,32.0,1.0529,59.9,Hazardous
1.0,-200.0,4.9,71.0,67.0,844.0,757.0,1186.0,1445.0,556.0,26.3,31.5,1.0643,68.0,Hazardous
1.2,-200.0,5.9,79.0,72.0,880.0,807.0,1123.0,1510.0,599.0,23.9,36.8,1.0774,73.2,Hazardous
1.3,-200.0,6.6,117.0,88.0,906.0,838.0,1084.0,1547.0,694.0,23.7,36.8,1.0609,89.3,Hazardous
1.6,-200.0,7.6,127.0,94.0,904.0,882.0,1048.0,1549.0,744.0,22.5,37.8,1.0157,95.6,Hazardous
1.4,-200.0,7.0,118.0,89.0,877.0,858.0,1080.0,1535.0,724.0,21.8,39.2,1.0115,90.4,Hazardous
1.7,-200.0,7.5,130.0,96.0,918.0,879.0,1030.0,1569.0,804.0,20.9,42.6,1.04,97.7,Hazardous
1.7,-200.0,8.4,131.0,98.0,930.0,914.0,991.0,1631.0,862.0,20.0,45.6,1.0555,99.7,Hazardous
1.4,-200.0,7.0,102.0,95.0,870.0,858.0,1061.0,1557.0,811.0,19.3,47.9,1.059,96.4,Hazardous
0.8,-200.0,3.9,48.0,64.0,793.0,703.0,1222.0,1439.0,627.0,18.7,49.0,1.0462,64.8,Hazardous
0.4,-200.0,2.6,22.0,38.0,760.0,626.0,1263.0,1386.0,575.0,17.8,54.1,1.0938,38.4,Very Unhealthy
0.5,-200.0,2.4,44.0,40.0,732.0,613.0,1273.0,1413.0,605.0,18.2,54.1,1.1155,40.5,Hazardous
1.5,-200.0,9.6,167.0,76.0,933.0,962.0,867.0,1705.0,974.0,17.3,57.6,1.1289,77.5,Hazardous
2.6,-200.0,15.4,220.0,90.0,1061.0,1162.0,777.0,1898.0,1132.0,19.9,49.4,1.1354,92.6,Hazardous
1.3,-200.0,6.7,78.0,92.0,942.0,846.0,980.0,1615.0,905.0,21.7,50.8,1.3019,93.3,Hazardous
0.7,-200.0,4.2,38.0,55.0,825.0,720.0,1129.0,1511.0,678.0,21.0,51.9,1.2794,55.7,Hazardous
0.5,-200.0,2.5,26.0,42.0,780.0,621.0,1277.0,1452.0,586.0,20.5,54.3,1.2926,42.5,Hazardous
0.3,-200.0,1.4,19.0,30.0,734.0,538.0,1449.0,1400.0,514.0,21.0,53.1,1.3031,30.3,Very Unhealthy
0.5,-200.0,2.8,35.0,40.0,785.0,640.0,1265.0,1467.0,588.0,19.6,57.1,1.2851,40.5,Hazardous
1.4,-200.0,8.8,126.0,69.0,946.0,931.0,917.0,1745.0,884.0,18.2,62.3,1.2903,70.4,Hazardous
1.7,-200.0,10.9,96.0,89.0,1050.0,1011.0,836.0,1739.0,1161.0,25.3,40.7,1.291,90.7,Hazardous
1.2,-200.0,8.1,59.0,67.0,972.0,902.0,933.0,1647.0,878.0,24.9,41.2,1.2809,68.2,Hazardous
1.6,-200.0,10.2,81.0,81.0,1020.0,984.0,853.0,1753.0,1031.0,23.7,45.1,1.3033,82.6,Hazardous
1.0,-200.0,7.5,40.0,54.0,934.0,878.0,940.0,1644.0,847.0,22.5,49.0,1.3151,55.0,Hazardous
0.9,-200.0,5.8,42.0,57.0,914.0,801.0,965.0,1609.0,908.0,22.3,50.6,1.3486,57.9,Hazardous
0.5,-200.0,3.3,31.0,51.0,817.0,672.0,1113.0,1501.0,751.0,20.8,54.4,1.3229,51.5,Hazardous
0.5,-200.0,4.0,54.0,58.0,833.0,708.0,1084.0,1525.0,799.0,20.3,56.0,1.3204,58.5,Hazardous
1.0,-200.0,8.1,88.0,69.0,935.0,905.0,899.0,1675.0,954.0,20.5,54.8,1.3073,70.0,Hazardous
1.5,-200.0,8.7,83.0,84.0,984.0,929.0,917.0,1654.0,817.0,25.4,40.1,1.2822,85.5,Hazardous
1.0,-200.0,7.6,48.0,61.0,938.0,881.0,956.0,1607.0,662.0,24.1,43.3,1.2839,62.0,Hazardous
0.7,-200.0,5.2,27.0,42.0,878.0,774.0,1065.0,1527.0,552.0,23.9,45.6,1.3328,42.7,Hazardous
1.0,-200.0,5.9,48.0,66.0,919.0,807.0,967.0,1598.0,775.0,22.0,52.8,1.3752,67.0,Hazardous
0.9,-200.0,5.4,75.0,76.0,872.0,782.0,1001.0,1607.0,874.0,19.5,59.4,1.3328,76.9,Hazardous
1.2,-200.0,8.7,101.0,78.0,949.0,929.0,887.0,1711.0,973.0,20.0,56.6,1.3095,79.2,Hazardous
1.5,-200.0,10.4,102.0,96.0,1018.0,992.0,839.0,1710.0,1103.0,24.7,39.3,1.2065,97.5,Hazardous
1.1,-200.0,7.5,70.0,86.0,919.0,880.0,915.0,1628.0,1013.0,24.2,39.5,1.1764,87.1,Hazardous
0.6,-200.0,3.5,41.0,65.0,807.0,681.0,1092.0,1435.0,765.0,24.8,37.8,1.1639,65.6,Hazardous
0.4,-200.0,2.6,36.0,53.0,789.0,623.0,1146.0,1407.0,663.0,22.0,44.3,1.1553,53.4,Hazardous
0.6,-200.0,4.0,68.0,74.0,825.0,709.0,1050.0,1491.0,813.0,19.3,51.4,1.1364,74.6,Hazardous
1.0,-200.0,7.0,92.0,69.0,912.0,858.0,923.0,1608.0,894.0,19.8,50.4,1.1525,70.0,Hazardous
1.3,-200.0,7.3,108.0,97.0,936.0,871.0,990.0,1430.0,921.0,24.9,27.2,0.8429,98.3,Hazardous
1.3,-200.0,8.9,98.0,91.0,988.0,937.0,894.0,1543.0,1008.0,23.5,32.2,0.922,92.3,Hazardous
0.9,-200.0,6.6,57.0,68.0,924.0,839.0,957.0,1453.0,849.0,23.5,32.7,0.9349,68.9,Hazardous
0.6,-200.0,4.3,36.0,52.0,839.0,725.0,1052.0,1368.0,668.0,24.1,32.0,0.9467,52.6,Hazardous
0.5,-200.0,4.1,45.0,58.0,853.0,716.0,1047.0,1414.0,707.0,20.8,40.2,0.9725,58.5,Hazardous
0.9,-200.0,6.0,87.0,78.0,918.0,810.0,936.0,1524.0,939.0,18.8,46.6,1.0027,78.9,Hazardous
0.7,-200.0,5.6,62.0,61.0,890.0,791.0,950.0,1489.0,886.0,19.8,46.0,1.0524,61.7,Hazardous
0.6,-200.0,4.8,65.0,64.0,865.0,752.0,996.0,1451.0,837.0,21.3,42.3,1.0625,64.6,Hazardous
1.3,-200.0,8.9,125.0,81.0,1003.0,937.0,850.0,1622.0,1005.0,21.3,41.8,1.0449,82.3,Hazardous
1.9,-200.0,13.1,157.0,92.0,1123.0,1088.0,746.0,1789.0,1191.0,24.0,36.6,1.0772,93.9,Hazardous
1.8,-200.0,11.2,119.0,96.0,1110.0,1021.0,820.0,1724.0,971.0,32.3,23.6,1.1271,97.8,Hazardous
1.6,-200.0,9.6,95.0,91.0,1067.0,962.0,860.0,1658.0,802.0,35.1,21.8,1.2093,92.6,Hazardous
1.2,-200.0,7.2,58.0,68.0,1008.0,866.0,937.0,1573.0,695.0,36.0,20.5,1.1995,69.2,Hazardous
1.2,-200.0,8.6,69.0,76.0,1062.0,924.0,892.0,1683.0,777.0,37.0,20.1,1.2423,77.2,Hazardous
1.4,-200.0,9.0,76.0,84.0,1082.0,939.0,869.0,1678.0,818.0,36.4,21.0,1.2515,85.4,Hazardous
1.3,-200.0,7.9,63.0,76.0,1042.0,897.0,901.0,1605.0,681.0,35.2,22.6,1.267,77.3,Hazardous
1.1,-200.0,6.2,51.0,61.0,1022.0,823.0,964.0,1599.0,631.0,32.5,27.6,1.3229,62.1,Hazardous
1.1,-200.0,6.3,46.0,52.0,1024.0,828.0,936.0,1601.0,641.0,29.1,35.1,1.3919,53.1,Hazardous
1.1,-200.0,6.3,52.0,59.0,1048.0,828.0,922.0,1618.0,683.0,26.9,39.7,1.3898,60.1,Hazardous
1.8,-200.0,11.2,84.0,89.0,1153.0,1022.0,765.0,1806.0,1013.0,26.1,42.2,1.4039,90.8,Hazardous
2.0,-200.0,9.2,126.0,89.0,1086.0,946.0,847.0,1729.0,945.0,25.2,45.2,1.4262,91.0,Hazardous
1.0,-200.0,5.8,47.0,53.0,972.0,804.0,955.0,1620.0,734.0,25.4,45.5,1.457,54.0,Hazardous
0.6,-200.0,3.4,24.0,36.0,880.0,677.0,1109.0,1500.0,554.0,26.2,43.6,1.4599,36.6,Very Unhealthy
0.5,-200.0,3.1,25.0,39.0,879.0,658.0,1121.0,1511.0,564.0,24.4,48.3,1.4499,39.5,Very Unhealthy
0.4,-200.0,2.2,21.0,33.0,842.0,597.0,1237.0,1444.0,512.0,23.3,51.0,1.4346,33.4,Very Unhealthy
0.4,-200.0,1.5,25.0,37.0,797.0,543.0,1466.0,1347.0,410.0,21.6,48.1,1.2259,37.4,Very Unhealthy
0.4,-200.0,1.3,25.0,36.0,796.0,526.0,1534.0,1322.0,392.0,21.4,47.8,1.2005,36.4,Very Unhealthy
0.4,-200.0,1.2,30.0,42.0,767.0,520.0,1526.0,1287.0,377.0,20.5,46.8,1.1152,42.4,Hazardous
0.5,-200.0,1.7,42.0,52.0,784.0,562.0,1460.0,1286.0,389.0,20.8,40.7,0.9882,52.5,Hazardous
0.6,-200.0,2.5,52.0,60.0,811.0,622.0,1315.0,1307.0,432.0,22.3,35.3,0.9371,60.6,Hazardous
0.7,-200.0,2.5,62.0,74.0,838.0,620.0,1292.0,1325.0,502.0,21.7,38.3,0.9842,74.7,Hazardous
0.7,-200.0,2.7,67.0,65.0,821.0,632.0,1295.0,1302.0,469.0,24.4,29.6,0.8921,65.7,Hazardous
0.6,-200.0,1.9,47.0,52.0,793.0,579.0,1380.0,1303.0,427.0,23.4,34.9,0.991,52.6,Hazardous
0.5,-200.0,1.8,35.0,40.0,794.0,567.0,1426.0,1306.0,406.0,23.5,35.2,1.0019,40.5,Hazardous
0.6,-200.0,2.4,45.0,49.0,821.0,614.0,1309.0,1350.0,430.0,22.4,39.0,1.04,49.6,Hazardous
0.8,-200.0,2.6,53.0,56.0,849.0,628.0,1274.0,1379.0,453.0,22.0,41.7,1.0865,56.8,Hazardous
0.8,-200.0,3.0,57.0,59.0,852.0,651.0,1246.0,1387.0,470.0,21.7,42.7,1.0949,59.8,Hazardous
1.0,-200.0,2.9,71.0,68.0,847.0,645.0,1245.0,1364.0,480.0,20.7,43.4,1.047,69.0,Hazardous
1.0,-200.0,3.5,67.0,72.0,849.0,682.0,1215.0,1378.0,472.0,20.3,42.6,1.0045,73.0,Hazardous
1.0,-200.0,3.6,75.0,78.0,865.0,687.0,1191.0,1388.0,521.0,20.3,44.1,1.0392,79.0,Hazardous
0.9,-200.0,3.6,65.0,71.0,848.0,689.0,1180.0,1403.0,520.0,20.1,45.2,1.0538,71.9,Hazardous
0.7,-200.0,2.3,45.0,54.0,807.0,606.0,1340.0,1337.0,440.0,19.8,45.7,1.0424,54.7,Hazardous
0.8,-200.0,2.6,46.0,57.0,814.0,627.0,1305.0,1351.0,446.0,19.6,45.3,1.0244,57.8,Hazardous
0.7,-200.0,2.0,33.0,45.0,785.0,582.0,1377.0,1311.0,417.0,19.4,45.9,1.0242,45.7,Hazardous
0.5,-200.0,1.2,19.0,30.0,748.0,515.0,1580.0,1261.0,381.0,19.7,44.8,1.0172,30.5,Very Unhealthy
0.3,-200.0,0.7,9.0,16.0,716.0,461.0,1795.0,1235.0,350.0,19.5,46.3,1.0363,16.3,Unhealthy
0.3,-200.0,0.8,21.0,28.0,748.0,477.0,1703.0,1301.0,380.0,19.1,52.7,1.1545,28.3,Very Unhealthy
0.7,-200.0,3.5,66.0,62.0,888.0,683.0,1196.0,1483.0,563.0,20.3,49.3,1.1596,62.7,Hazardous
1.5,-200.0,7.0,137.0,92.0,973.0,858.0,941.0,1584.0,779.0,21.1,46.2,1.1389,93.5,Hazardous
1.8,-200.0,8.7,151.0,96.0,993.0,927.0,886.0,1665.0,842.0,21.5,44.5,1.129,97.8,Hazardous
1.4,-200.0,6.3,115.0,87.0,929.0,825.0,992.0,1561.0,692.0,22.4,43.6,1.1637,88.4,Hazardous
1.5,-200.0,7.0,118.0,84.0,962.0,858.0,941.0,1613.0,779.0,24.8,39.1,1.2039,85.5,Hazardous
1.2,-200.0,5.5,95.0,73.0,906.0,786.0,1026.0,1538.0,633.0,23.9,42.1,1.2335,74.2,Hazardous
1.2,-200.0,5.3,86.0,72.0,915.0,776.0,1029.0,1544.0,616.0,25.5,38.3,1.2328,73.2,Hazardous
1.3,-200.0,5.5,85.0,68.0,928.0,787.0,1012.0,1585.0,606.0,25.4,39.2,1.2534,69.3,Hazardous
1.0,-200.0,3.8,66.0,62.0,855.0,698.0,1134.0,1449.0,526.0,25.6,37.0,1.2006,63.0,Hazardous
1.4,-200.0,5.4,74.0,70.0,920.0,783.0,1046.0,1550.0,588.0,24.5,38.4,1.1669,71.4,Hazardous
1.6,-200.0,6.7,108.0,83.0,917.0,842.0,985.0,1563.0,674.0,23.9,39.9,1.1639,84.6,Hazardous
2.7,-200.0,12.2,150.0,92.0,1072.0,1057.0,812.0,1820.0,885.0,24.2,39.2,1.1665,94.7,Hazardous
1.5,-200.0,6.7,93.0,82.0,914.0,845.0,972.0,1583.0,703.0,22.3,44.9,1.1973,83.5,Hazardous
1.4,-200.0,5.7,76.0,74.0,888.0,799.0,1023.0,1531.0,637.0,21.7,46.5,1.1917,75.4,Hazardous
1.0,-200.0,4.1,57.0,67.0,851.0,718.0,1134.0,1471.0,561.0,22.0,44.9,1.1699,68.0,Hazardous
1.1,-200.0,4.7,64.0,74.0,870.0,749.0,1096.0,1487.0,612.0,22.2,44.1,1.1654,75.1,Hazardous
1.2,-200.0,5.2,59.0,72.0,883.0,773.0,1062.0,1514.0,621.0,21.8,45.6,1.1763,73.2,Hazardous
1.2,-200.0,5.1,68.0,79.0,886.0,767.0,1055.0,1532.0,702.0,21.6,46.0,1.1742,80.2,Hazardous
0.7,-200.0,2.8,31.0,43.0,792.0,637.0,1249.0,1400.0,559.0,21.6,45.8,1.1715,43.7,Hazardous
0.5,-200.0,1.4,21.0,33.0,754.0,535.0,1490.0,1335.0,435.0,20.7,48.3,1.168,33.5,Very Unhealthy
0.4,-200.0,2.0,24.0,38.0,770.0,586.0,1326.0,1392.0,527.0,20.8,48.5,1.18,38.4,Very Unhealthy
